食べる,たべる,eat
行く,いく,go
eat,go,see
する,する,do
来る,くる,come
言う,いう,say
持つ,もつ,have
ある,ある,be
使う,つかう,use
知る,しる,know
思う,おもう,think
聞く,きく,ask
作る,つくる,make
入る,はいる,enter
出る,でる,exit
歩く,あるく,walk
待つ,まつ,wait
勉強する,べんきょうする,study
使える,つかえる,can use
知れる,しれる,can know
見える,みえる,can see
言える,いえる,can say
持てる,もてる,can have
行ける,いける,can go
来れる,これる,can come
遊ぶ,あそぶ,play
泳ぐ,およぐ,swim
寝る,ねる,sleep
読む,よむ,read
飲む,のむ,drink
買う,かう,buy
貸す,かす,lend
借りる,かりる,borrow
運転する,うんてんする,drive
書く,かく,write
聞こえる,きこえる,hear
泣く,なく,cry
笑う,わらう,laugh
走る,はしる,run
飛ぶ,とぶ,fly
落ちる,おちる,fall
起きる,おきる,wake up
休む,やすむ,rest
捨てる,すてる,throw away
座る,すわる,sit
立つ,たつ,stand
探す,さがす,search
見つける,みつける,find
掴む,つかむ,grab
離す,はなす,let go
開ける,あける,open
閉める,しめる,close
止める,とめる,stop
続ける,つづける,continue
始める,はじめる,start
終わる,おわる,finish
教える,おしえる,teach
学ぶ,まなぶ,learn
知らせる,しらせる,inform
話す,はなす,talk
聞く,きく,listen
言う,ゆう,speak
答える,こたえる,answer
尋ねる,たずねる,ask
説明する,せつめいする,explain
描く,えがく,draw
見せる,みせる,show
作成する,さくせいする,create
消す,けす,erase
壊す,こわす,break
修理する,しゅうりする,repair
掃除する,そうじする,clean
遊び,あそび,play
競争する,きょうそうする,compete
勝つ,かつ,win
負ける,まける,lose
支持する,しじする,support
反対する,はんたいする,oppose
信じる,しんじる,believe
疑う,うたがう,doubt
感じる,かんじる,feel
理解する,りかいする,understand
試す,ためす,try
選ぶ,えらぶ,choose